Colorado_Springs,Maryland_Baltimore,NewMexico_Roswell,LosAngeles
38.4,45,54.5,60.1
45.1,55.8,61.2,62.7
55.1,60.5,70.7,64.1
65.9,75.3,81.8,68.4
74.1,77.5,78.9,69.8
68.4,73.6,77.7,70
60.4,69.4,69.8,68.6
50.8,55.5,60.7,68.9
41.7,45.4,50,64
30.1,38.5,41.6,54.9
34,29.2,42.3,60.1
36.1,37.4,48.8,56.2
41,43.1,55.3,57.7
45.5,54.9,60.7,60.2
57.1,63.7,71.1,63.9
63.9,71.4,79.8,65
68.6,74.6,81.2,68.4
67.4,76.6,80,68.8
59.7,66.6,71.1,69.9
42.7,55.3,60,65
41.4,49.7,51.3,61.5
23.2,34.8,36,56.2
30.7,32.7,38.6,58.4
27.8,30.9,42.4,57.5
40.7,48.5,51,59.8
47.9,57.1,61.3,58.5
55.4,67.3,69.2,61
69.6,78.8,80.8,64.6
72.7,81.5,78.8,65.7
70.9,77.4,80.1,65.8
67,71,75.2,66.8
53.7,57.6,63.6,65.6
38.1,47.2,48.3,61.4
34.5,32.4,44.3,58.2
29.4,30.2,39.6,59.2
29.3,38.5,40.9,55.3
43.1,44.3,57.8,57.9
48.3,57.7,66.6,61.8
54.2,67.2,69.9,62.4
70.5,75.7,82.8,63.8
75.1,81.7,84.7,68.3
74.1,75.9,86.1,67.6
62.5,69.3,73.4,66.9
50.7,56.6,63.4,64.5
40.6,50.5,50.5,59.1
28.9,42.2,34.5,55
36.2,38.2,45,59.4
32,41.6,45,57.1
48,53.7,56.6,57.1
52.4,55.3,66.7,59.7
59.8,69,72.2,63
73.3,73.6,83.1,65.3
75.4,81.4,82.5,66.6
71.2,77.3,82.7,72.2
62.9,69.5,73.5,72.2
49.3,58.3,62.5,69
43.5,42.9,53.7,62.7
30.9,42.7,42.4,56.6
30.3,36.9,40.4,56.5
29.4,35,45.3,56.1
38.5,40.6,54.5,59.2
42.7,55.3,61.5,62.1
56.3,63.7,71.4,66.5
70,73.9,83.1,67.9
71.3,79,79.8,69
70.8,74.2,81.6,68.6
65.4,67.7,73.9,70.1
48.3,58.8,60.3,65.7
39.3,43.6,48.3,64.1
29.3,39.6,39.6,59
30.3,27.5,40.6,61.3
30.9,33,46.7,59.7
39.6,38.5,52.5,62.3
47.5,53,61.4,62.6
56.8,64.8,70.1,68.9
66.9,73.2,80.8,67.6
70.2,75.6,80.8,71.8
68.3,72.5,79.3,71.2
63.9,68.7,71,73
53.5,58.2,63.5,70
36.2,43.4,46,64.9
31.6,39.9,42.7,58.2
32.9,30.9,37.7,59.8
33.6,25.4,45.8,61
43.2,39.8,53.3,64.5
48.5,54.6,60.7,62.2
52.3,69.1,66.8,61
68.5,74.1,78.3,66.3
70.2,77,82.3,70.3
71.3,75.1,82.5,72.8
67.3,71.9,78.3,75.1
55.4,55.3,63.9,74
39.1,50.9,49,62.2
32.5,49,41.6,57.3
32.7,32,39.4,57
37.1,37.4,48.3,63
42,50.1,55.8,60.5
46.7,54,60.8,63.5
54.5,61.5,67.8,62.8
70.5,73,80.7,66.9
74.5,79.7,86.5,71.6
68.7,79.2,78.6,70.6
65.2,72.3,72.4,71.1
58,59.6,66.1,68.3
44.8,48.6,53.3,64.8
29.4,38.4,41.2,58.1
30.9,39.1,43.9,55.8
39.9,44.2,51.2,57.2
46.7,44,59.6,61
48.8,60.3,63.2,63.6
55.7,62.3,69.6,63.3
69.3,73.7,81.5,66.7
73.4,78.7,82.6,71.7
68.3,73.5,78.8,72
63.4,69.1,74.1,71.5
50.2,61.6,62,71.5
45.6,46.2,54.9,65.5
33.5,35.5,42.5,61.4
35.1,32.1,39.5,61.9
32,41.9,47.3,58.4
42.8,40.3,56.2,58.7
46.7,52.1,62.3,62
